name,description,url,address,lng,lat
Career Services,"The Career Services department, located in the Wintergreen Building, would like to join with you to help you discover and fulfill your career aspirations.",https://www.southernct.edu/student-life/academic-success/career-services/,"100 Wintergreen Avenue, New Haven, CT 06515",-72.95066983,41.33466163
Drug and Alcohol Resource Center,Located in the Basement of Schwartz Hall!,https://www.southernct.edu/student-life/health/drugalcoholresource/,"320 Fitch Street, New Haven, CT 06515",-72.95018703,41.33137676
Fitness Center,"Come work out at the Fitness Center, located at the Adanti Student Center 2nd floor. We have workout machines, group classes, Zumba, Yoga, and more!",https://www.southernct.edu/fitnesscenter/,"501 Crescent Street, New Haven, CT 06515",-72.948705,41.332252
Granoff Hall - Health Center,"At Southern's Student Health and Wellness Center, you will find a physician, advanced practice nurses, and nurses to help you stay in tune with your physical and emotional self.  The staff of the Student Health and Wellness Center can treat illnesses, refer you to specialists, answer your questions, and help you handle medical problems. We have qualified medical practitioners in the areas of family practice, gynecology,  and HIV/STI counseling and testing. A Physician, Nurse Practitioners (APRN) and Nurses (RN) are available year round.",https://www.southernct.edu/student-life/health/healthservices/,"10 Wintergreen Avenue, New Haven, CT 06515",-72.951914,41.333914
Financial Advising and Literacy,"Work collaboratively with various cross-divisional staffs to design, implement, and assess financial literacy programs and financial planning services for prospective and current students.",,"100 Wintergreen Avenue, New Haven, CT 06515",-72.95092195,41.33476838
First Year Experience Office,Located in Engleman Hall.,http://www.southernct.edu/offices/first-year-experience/index.html/,"501 Crescent Street, New Haven, CT 06515",-72.946881,41.333049
International Education Office,Located in Engleman Hall.,https://www.southernct.edu/academics/international/index.html,"501 Crescent Street, New Haven, CT 06515",-72.946581,41.332364
Veteran's Services,Located in Engleman Hall.,http://www.southernct.edu/student-life/support/veterans-services/index.html,"501 Crescent Street, New Haven, CT 06515",-72.946634,41.332356
Men's Initiative,Located in the Basement of Schwartz Hall!,http://www.southernct.edu/student-life/health/womenscenter/mensinitiative/index.html,"501 Crescent Street, New Haven, CT 06515",-72.950293,41.331277
Women's Center,Located in the Basement of Schwartz Hall!,http://www.southernct.edu/student-life/health/womenscenter/,"320 Fitch Street, New Haven, CT 06515",-72.95027,41.331277
Dean of Students,Located in Engleman Hall.,https://www.southernct.edu/student-life/office-of-student-affairs/,"501 Crescent Street, New Haven, CT 06515",-72.946656,41.333243
Nursing Classroom Building,Academic Building,,"220 Fitch St,?New Haven,?CT?06515",-72.941939,41.335888
Davis Hall,Academic Building,,"220 Fitch St,?New Haven,?CT?06515",-72.942126,41.335332
Pelz Gymnasium,Academic Building & Gymnasium,,"501 Crescent Street, New Haven, CT 06515",-72.943898,41.335055
Jennings Hall,Academic Building,,"501 Crescent Street, New Haven, CT 06515",-72.945154,41.334145
Morril Hall,Academic Building,,"501 Crescent Street, New Haven, CT 06515",-72.945905,41.333903
TE-8,Academic Building,,"501 Crescent Street, New Haven, CT 06515",-72.945057,41.331768
School of Business,Academic Building,,"501 Crescent Street, New Haven, CT 06515",-72.945475,41.331623
Engleman Hall,Academic Building,,"501 Crescent Street, New Haven, CT 06515",-72.946645,41.332646
Lyman Center,The SCSU Center of Performing Arts! Check out the upcoming events!,http://www.southernct.edu/lyman/,"501 Crescent Street, New Haven, CT 06515",-72.946881,41.33151
Earl Hall,Academic Building,,"501 Crescent Street, New Haven, CT 06515",-72.947857,41.332131
Schwartz Hall,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/schwartzhall.html,"320 Fitch Street, New Haven, CT 06515",-72.9500851,41.33147343
Lang House,School of Health and Human Services.,http://www.southernct.edu/academics/schools/health/contact.html,"166 Farnham Avenue, New Haven, CT 06515",-72.95242399,41.33057011
Orlando House,Deparatment of Public Health,https://www.southernct.edu/academics/schools/health/academic-programs/publichealth/,"166 Farnham Avenue, New Haven, CT 06515",-72.95226172,41.33178964
Brownell Hall,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/brownellhall.html,"114 Farnham Avenue, New Haven, CT 06515",-72.95378387,41.33167685
Farnham Programming Space,Host of a wide variety of on-campus events! Open to all students! Located in the basement of Farnham Hall.,http://www.southernct.edu/student-life/campus-life/residencelife/events/farnhamprogramming.html,"166 Farnham Avenue, New Haven, CT 06515",-72.95196801,41.33263554
Farnham Hall,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/farnhamhall.html,"166 Farnham Avenue, New Haven, CT 06515",-72.95197874,41.33260332
Wilkinson Hall,On-campus Housing,http://www.southernct.edu/student-life/campus-life/residencelife/general-information/residencehalls/westcampus.html,"158 Farnham Avenue, New Haven, CT 06515",-72.95265198,41.33273624
